"SERIAL_CRASH","MONTH","HOUR","HARM_EV","HARM_EVNAME","TYPE_OF_COLLIOSION","NUM_OF_PEOPLE","MOD_YEAR","VPICMAKENAME","VPICMODELNAME","TRAV_SP","DEFORMEDNAME","DEATHS","DR_DRINK","IS_DRIVER_PRESENT","L_TYPENAME","L_STATUSNAME","SPEEDRELNAME","VSPD_LIM","VSURCONDNAME","P_CRASH1NAME","P_CRASH2NAME","P_CRASH3NAME","PCRASH4NAME","PCRASH5NAME","BODY_STYLE","BLIND_SPOT_DETECTION","ARS","FRNT_COLLISION_WARNING","LANE_DEPARTURE_WARNING","CRASH_IMMINENT_BRAKE","DYNAMIC_BRAKE_SUPPORT","NHTSA_ESC","SAFETY_COUNT","notification_count"
10075,2,18,12,"Motor Vehicle In-Transport","Front-to-Front",1,2011,"JEEP","WRANGLER",45,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,0,0,0,0,0,1,1,0
10076,2,11,12,"Motor Vehicle In-Transport","Front-to-Front",1,2019,"TOYOTA","TUNDRA",55,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From opposite direction  over left lane line","Steering right","Tracking","Stayed in original travel lane","PU/EC",0,2,1,1,1,1,0,4,2
10083,2,10,12,"Motor Vehicle In-Transport","Front-to-Front",1,2018,"AUDI","A6",70,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",65,"Dry","Negotiating a Curve","From opposite direction  over left lane line","No Avoidance Maneuver","Tracking","Stayed in original travel lane","4 DR",0,1,0,0,2,2,0,1,0
10084,2,6,12,"Motor Vehicle In-Transport","Front-to-Front",1,2014,"JEEP","GRAND CHEROKEE",60,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",1,1,0,0,2,2,1,2,1
10089,2,20,12,"Motor Vehicle In-Transport","Front-to-Front",1,2020,"GMC","TERRAIN",45,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Going Straight","From opposite direction  over left lane line","Steering right","Tracking","Stayed in original travel lane","SUV",0,0,1,1,1,1,0,5,2
10090,2,19,12,"Motor Vehicle In-Transport","Front-to-Front",2,2019,"TOYOTA","TACOMA",40,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","PU/EC",1,1,1,1,1,1,0,5,3
10097,2,16,12,"Motor Vehicle In-Transport","Front-to-Front",1,2021,"VOLKSWAGEN","ATLAS CROSS SPORT",56,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Negotiating a Curve","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",1,1,1,0,1,1,0,6,2
10098,2,3,12,"Motor Vehicle In-Transport","Front-to-Rear",1,2021,"JEEP","GRAND CHEROKEE",0,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Stopped in Roadway","Traveling in same direction with higher speed","No Avoidance Maneuver","Tracking","Stayed in original travel lane","SUV",1,1,0,0,2,2,0,2,1
10102,2,14,12,"Motor Vehicle In-Transport","Front-to-Front",1,2018,"MAZDA","CX-5",55,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Negotiating a Curve","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",1,1,1,0,1,2,0,5,2
10106,2,5,12,"Motor Vehicle In-Transport","Angle",1,2020,"MITSUBISHI","OUTLANDER SPORT",5,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",45,"Dry","Going Straight","Crossing Over (Passing Through) Junction","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,0,0,0,2,2,0,0,0
10108,2,23,12,"Motor Vehicle In-Transport","Front-to-Front",1,2015,"FORD","FUSION",55,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From opposite direction  over left lane line","Steering left","Tracking","Stayed in original travel lane","4 DR",0,1,1,0,0,0,0,1,1
10115,2,22,35,"Embankment","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",4,2021,"LINCOLN","NAVIGATOR",75,"Disabling Damage",2,0,1,"Full Driver License","Valid","No",65,"Dry","Going Straight","Off the edge of the road on the right side","Unknown/Not Reported","Tracking","Departed roadway","SUV",1,1,1,1,1,1,0,7,3
10120,2,3,12,"Motor Vehicle In-Transport","Front-to-Front",3,2016,"HYUNDAI","ACCENT",55,"Disabling Damage",2,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","Traveling in opposite direction","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",0,1,0,0,0,0,0,1,0
10122,2,22,12,"Motor Vehicle In-Transport","Front-to-Front",1,2016,"FORD","FIESTA",65,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",65,"Dry","Going Straight","Traveling in opposite direction","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",0,0,0,0,0,0,0,0,0
10124,2,13,12,"Motor Vehicle In-Transport","Angle",2,2015,"INFINITI","Q40",10,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",65,"Dry","Turning Left","Turning Left","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",0,0,0,0,0,0,0,0,0
10124,2,13,12,"Motor Vehicle In-Transport","Angle",4,2020,"MERCEDES-BENZ","GLS-CLASS",70,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",65,"Dry","Going Straight","From opposite direction  over left lane line","Braking and Unknown Steering Direction","Tracking","Stayed in original travel lane","SUV",1,1,1,1,1,1,0,5,3
10128,2,20,12,"Motor Vehicle In-Transport","Front-to-Front",1,2018,"JEEP","WRANGLER",60,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","Traveling in opposite direction","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,0,0,0,0,0,0,0,0
10132,2,12,12,"Motor Vehicle In-Transport","Angle",1,2017,"NISSAN","VERSA NOTE",999,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",50,"Dry","Going Straight","Crossing Over (Passing Through) Junction","Unknown/Not Reported","Tracking","Stayed in original travel lane","5 HB",0,0,0,0,0,0,0,0,0
10132,2,12,12,"Motor Vehicle In-Transport","Angle",2,2016,"DODGE","CHALLENGER",999,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",50,"Dry","Turning Left","From crossing street, across path","Unknown/Not Reported","Tracking","Stayed in original travel lane","2 DR",0,0,0,0,0,0,0,0,0
10141,3,19,8,"Pedestrian","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",1,2019,"CHEVROLET","CRUZE",65,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",65,"Dry","Going Straight","Pedestrian in road","Other actions (specify:)","Tracking","Stayed in original travel lane","4 DR",1,2,0,0,2,2,0,1,1
10143,3,21,12,"Motor Vehicle In-Transport","Front-to-Front",1,2020,"JEEP","RENEGADE",55,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,0,0,0,2,2,0,0,0
10144,3,10,12,"Motor Vehicle In-Transport","Front-to-Rear",2,2019,"TOYOTA","YARIS",0,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Stopped in Roadway","Traveling in same direction with higher speed","No Avoidance Maneuver","Tracking","Stayed in original travel lane","3 HB",0,1,1,1,1,1,0,5,2
10153,3,15,12,"Motor Vehicle In-Transport","Front-to-Rear",1,2013,"CHEVROLET","IMPALA",50,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","Other vehicle stopped","Braking","Tracking","Stayed in original travel lane","4 DR",0,1,0,0,0,0,1,3,0
10154,3,18,12,"Motor Vehicle In-Transport","Angle",2,2018,"HYUNDAI","SANTA FE SPORT",999,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",35,"Dry","Going Straight","Crossing Over (Passing Through) Junction","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,2,0,1,2,2,0,0,1
10160,3,13,12,"Motor Vehicle In-Transport","Front-to-Rear",3,2020,"KIA","FORTE",0,"Disabling Damage",2,0,1,"Full Driver License","Valid","No",55,"Dry","Stopped in Roadway","Traveling in same direction with higher speed","No Avoidance Maneuver","Tracking","Stayed in original travel lane","4 DR",0,2,1,1,1,1,0,5,2
10169,3,12,42,"Tree (Standing Only)","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,2020,"CHEVROLET","MALIBU",40,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",40,"Dry","Going Straight","Off the edge of the road on the right side","Unknown/Not Reported","Tracking","Departed roadway","4 DR",0,2,1,1,2,2,0,1,2
10171,3,1,8,"Pedestrian","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",1,2013,"KIA","SOUL",60,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",60,"Dry","Going Straight","Other vehicle stopped","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,1,0,0,0,0,1,2,0
10171,3,1,8,"Pedestrian","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",4,2018,"TOYOTA","CAMRY",60,"Functional Damage",0,0,1,"Full Driver License","Valid","No",60,"Dry","Going Straight","Other vehicle stopped","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",1,1,1,1,1,1,0,5,3
10172,3,22,8,"Pedestrian","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",1,2014,"KIA","OPTIMA",30,"Minor Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Going Straight","Pedestrian in road","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",1,1,0,0,0,0,1,2,1
10174,3,14,12,"Motor Vehicle In-Transport","Angle",1,2013,"NISSAN","ROGUE",999,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",25,"Dry","Unknown","Unknown travel direction","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,1,0,0,0,0,1,2,0
10176,3,21,12,"Motor Vehicle In-Transport","Front-to-Front",2,2013,"JEEP","WRANGLER",999,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",45,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,1,0,0,0,0,1,2,0
10177,3,13,18,"Other Object (not fixed)","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,2021,"DODGE","DURANGO",25,"Minor Damage",0,0,1,"Full Driver License","Valid","No",15,"Dry","Negotiating a Curve","Object in road","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",1,0,1,0,2,2,0,0,2
10179,3,5,8,"Pedestrian","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",1,2017,"NISSAN","ALTIMA",999,"Minor Damage",0,0,1,"Full Driver License","Valid","No",35,"Dry","Going Straight","Pedestrian in road","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",1,0,1,0,2,2,0,0,2
10181,3,16,12,"Motor Vehicle In-Transport","Front-to-Front",6,2017,"DODGE","JOURNEY",60,"Disabling Damage",2,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","Over the lane line on left side of travel lane","Unknown/Not Reported","Tracking","Stayed on roadway, but left original travel lane","SUV",0,0,0,0,0,0,0,0,0
10181,3,16,12,"Motor Vehicle In-Transport","Front-to-Front",1,2021,"TOYOTA","HIGHLANDER",55,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,1,1,1,1,1,0,6,2
10201,3,4,12,"Motor Vehicle In-Transport","Front-to-Front",1,2019,"NISSAN","SENTRA",999,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Negotiating a Curve","Over the lane line on left side of travel lane","Unknown/Not Reported","Tracking","Stayed on roadway, but left original travel lane","4 DR",0,1,1,0,2,2,0,1,1
10212,4,21,12,"Motor Vehicle In-Transport","Front-to-Front",1,2016,"TOYOTA","HIGHLANDER",51,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","Over the lane line on left side of travel lane","No Avoidance Maneuver","Tracking","Stayed on roadway, but left original travel lane","SUV",0,1,1,1,2,2,0,1,2
10212,4,21,12,"Motor Vehicle In-Transport","Front-to-Front",1,2016,"NISSAN","VERSA",57,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From opposite direction  over left lane line","No Avoidance Maneuver","Tracking","Stayed in original travel lane","4 DR",0,0,0,0,0,0,0,0,0
10214,4,17,12,"Motor Vehicle In-Transport","Angle",2,2014,"DODGE","AVENGER",15,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Turning Left","Turning Left","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",0,1,0,0,0,0,1,2,0
10218,4,14,12,"Motor Vehicle In-Transport","Front-to-Front",2,2018,"HYUNDAI","SANTA FE SPORT",45,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,2,0,1,2,2,0,0,1
10224,4,18,12,"Motor Vehicle In-Transport","Front-to-Rear",1,2013,"FORD","FIESTA",999,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",60,"Dry","Going Straight","Other vehicle stopped","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",0,0,0,0,0,0,1,1,0
10232,4,8,12,"Motor Vehicle In-Transport","Front-to-Front",1,2018,"TOYOTA","RAV4",70,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","Over the lane line on left side of travel lane","Unknown/Not Reported","Tracking","Stayed on roadway, but left original travel lane","SUV",1,1,1,1,1,1,0,5,3
10239,4,0,12,"Motor Vehicle In-Transport","Front-to-Front",1,2020,"TOYOTA","CAMRY",999,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",65,"Dry","Going Straight","Traveling in opposite direction","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",1,1,1,1,1,1,0,6,3
10244,4,14,12,"Motor Vehicle In-Transport","Front-to-Rear",1,2014,"TOYOTA","CAMRY",55,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Negotiating a Curve","Other vehicle stopped","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",1,0,0,0,0,0,1,1,1
10250,4,22,12,"Motor Vehicle In-Transport","Front-to-Front",2,2020,"RAM","1500",35,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",40,"Dry","Going Straight","Over the lane line on left side of travel lane","Unknown/Not Reported","Tracking","Stayed on roadway, but left original travel lane","PU/EC",1,0,0,0,2,2,0,0,1
10254,4,3,12,"Motor Vehicle In-Transport","Front-to-Front",1,2022,"CHEVROLET","SUBURBAN",72,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",70,"Dry","Going Straight","Traveling in opposite direction","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,1,0,0,0,0,0,2,0
10259,4,14,12,"Motor Vehicle In-Transport","Front-to-Rear",1,2016,"CHEVROLET","COLORADO",50,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","Other vehicle stopped","No Avoidance Maneuver","Tracking","Stayed in original travel lane","PU/EC",0,1,0,0,0,0,0,1,0
10260,4,23,42,"Tree (Standing Only)","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",1,2011,"HONDA","PILOT",55,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Negotiating a Curve","Off the edge of the road on the right side","Unknown/Not Reported","Tracking","Departed roadway","SUV",0,1,0,0,0,0,1,2,0
10262,4,18,10,"Railway Vehicle","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",1,2019,"DODGE","CHALLENGER",999,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",35,"Dry","Going Straight","Object approaching road","Unknown/Not Reported","Tracking","Stayed in original travel lane","2 DR",1,0,1,0,0,0,0,0,2
10265,4,20,9,"Pedalcyclist","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",1,2014,"TOYOTA","TACOMA",45,"Functional Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Going Straight","Pedalcyclist or other non-motorist in road","No Avoidance Maneuver","Tracking","Stayed in original travel lane","PU/EC",0,0,0,0,0,0,1,1,0
10272,4,23,8,"Pedestrian","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",4,2022,"NISSAN","PATHFINDER",70,"Minor Damage",0,0,1,"Full Driver License","Valid","No",70,"Dry","Going Straight","Other vehicle stopped","Steering left","Tracking","Departed roadway","SUV",0,0,0,0,0,0,0,0,0
10279,5,4,8,"Pedestrian","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,2022,"FORD","ESCAPE",999,"Functional Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Going Straight","Pedestrian in road","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",1,0,1,1,1,1,0,6,3
10280,5,7,12,"Motor Vehicle In-Transport","Front-to-Front",1,2018,"TOYOTA","CAMRY",999,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Negotiating a Curve","Over the lane line on left side of travel lane","No Avoidance Maneuver","Tracking","Stayed on roadway, but left original travel lane","4 DR",1,1,1,1,1,1,0,5,3
10280,5,7,12,"Motor Vehicle In-Transport","Front-to-Front",1,2013,"HYUNDAI","ELANTRA",999,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",45,"Dry","Negotiating a Curve","From opposite direction  over left lane line","No Avoidance Maneuver","Tracking","Stayed in original travel lane","2 DR",0,1,0,0,0,0,1,2,0
10281,5,5,12,"Motor Vehicle In-Transport","Angle",2,2011,"HONDA","CR-V",999,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",25,"Dry","Turning Left","Turning Left","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,1,0,0,0,0,1,2,0
10281,5,5,12,"Motor Vehicle In-Transport","Angle",1,2017,"GMC","YUKON",999,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From crossing street, turning into opposite direction","Unknown/Not Reported","Precrash stability unknown","Stayed in original travel lane","SUV",1,1,1,1,2,0,0,2,3
10285,5,22,12,"Motor Vehicle In-Transport","Front-to-Front",2,2012,"HONDA","ACCORD",70,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",70,"Dry","Going Straight","Traveling in opposite direction","Unknown/Not Reported","Tracking","Stayed in original travel lane","2 DR",0,0,0,0,0,0,1,1,0
10286,5,19,12,"Motor Vehicle In-Transport","Angle",3,2016,"KIA","SOUL",999,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",40,"Dry","Going Straight","From crossing street, across path","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,1,1,1,0,0,0,1,2
10287,5,19,8,"Pedestrian","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,2012,"DODGE","CHARGER",30,"Minor Damage",0,0,1,"Full Driver License","Valid","No",40,"Dry","Decelerating in Road","Pedestrian in road","No Avoidance Maneuver","Tracking","Stayed in original travel lane","4 DR",0,1,0,0,0,0,1,2,0
10302,5,4,12,"Motor Vehicle In-Transport","Front-to-Front",1,2023,"MITSUBISHI","OUTLANDER SPORT",55,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Negotiating a Curve","Over the lane line on left side of travel lane","Unknown/Not Reported","Tracking","Stayed on roadway, but left original travel lane","SUV",1,0,1,1,1,1,0,4,3
10303,5,10,12,"Motor Vehicle In-Transport","Front-to-Rear",1,2022,"BUICK","ENVISION",55,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","Other vehicle stopped","No Avoidance Maneuver","Tracking","Stayed in original travel lane","SUV",1,1,1,1,1,1,0,7,3
10304,5,17,12,"Motor Vehicle In-Transport","Angle",3,2013,"FORD","E-350",60,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","Over the lane line on left side of travel lane","Unknown/Not Reported","Tracking","Stayed on roadway, but left original travel lane","WAGON",0,0,0,0,0,0,1,1,0
10304,5,17,12,"Motor Vehicle In-Transport","Angle",1,2018,"NISSAN","PATHFINDER",50,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",1,1,1,0,2,2,0,2,2
10304,5,17,12,"Motor Vehicle In-Transport","Angle",1,2023,"HONDA","CR-V",30,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",1,1,1,1,1,1,0,5,3
10309,5,18,12,"Motor Vehicle In-Transport","Front-to-Front",4,2022,"JEEP","GRAND CHEROKEE",55,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Negotiating a Curve","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",1,1,1,1,1,1,0,7,3
10314,5,20,34,"Ditch","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",1,2011,"HONDA","ACCORD",55,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",45,"Dry","Negotiating a Curve","Off the edge of the road on the left side","Unknown/Not Reported","Tracking","Departed roadway","2 DR",0,1,0,0,0,0,1,2,0
10316,5,15,12,"Motor Vehicle In-Transport","Angle",3,2014,"HONDA","CR-V",999,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From driveway, across path","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,0,0,0,0,0,1,1,0
